Zona,Comune,N° CASI,Popolazione,% su 100000
EM,Capraia e Limite,3,8165,37
EM,Castelfiorentino,15,18605,81
EM,Castelfranco di Sotto,8,14218,56
EM,Cerreto Guidi,10,11409,88
EM,Certaldo,12,16652,72
EM,Empoli,29,51089,57
EM,Fucecchio,23,24220,95
EM,Gambassi Terme,5,5048,99
EM,Montaione,3,3787,79
EM,Montelupo Fiorentino,7,14830,47
EM,Montespertoli,7,13802,51
EM,Montopoli in Val d'Arno,17,11613,146
EM,San Miniato,22,28918,76
EM,Santa Croce sull'Arno,14,15479,90
EM,Vinci,10,15360,65
FI,Firenze,185,410808,45
MU,Barberino di Mugello,1,11960,8
MU,Borgo San Lorenzo,4,19289,21
MU,Dicomano,1,5990,17
MU,Scarperia e San Piero,5,13203,38
MU,Vicchio,1,8502,12
NO,Calenzano,14,18678,75
NO,Campi Bisenzio,43,50142,86
NO,Lastra a Signa,10,21117,47
NO,Scandicci,34,53390,64
NO,Sesto Fiorentino,20,52008,38
NO,Signa,15,20489,73
NO,Vaglia,3,5450,55
PO,Cantagallo,2,3378,59
PO,Carmignano,13,15988,81
PO,Montemurlo,28,21291,132
PO,Poggio a Caiano,5,10964,46
PO,Prato,150,225126,67
PO,Vaiano,4,10780,37
PO,Vernio,2,6635,30
PT,Agliana,15,19344,78
PT,Montale,7,11466,61
PT,Pistoia,49,99676,49
PT,Quarrata,22,29514,75
PT,San Marcello Piteglio,6,8691,69
PT,Serravalle Pistoiese,5,12525,40
SE,Bagno a Ripoli,14,26950,52
SE,Barberino Tavarnelle,6,12814,47
SE,Fiesole,6,14966,40
SE,Figline e Incisa Valdarno,13,25652,51
SE,Greve in Chianti,4,14497,28
SE,Impruneta,11,15472,71
SE,Londa,1,1980,51
SE,Pelago,5,8116,62
SE,Pontassieve,6,21720,28
SE,Reggello,12,17556,68
SE,Rignano sull'Arno,2,9015,22
SE,Rufina,1,7498,13
SE,San Casciano in Val di Pesa,13,17615,74
VN,Buggiano,7,9493,74
VN,Chiesina Uzzanese,3,4928,61
VN,Lamporecchio,3,8031,37
VN,Larciano,6,6720,89
VN,Massa e Cozzile,5,8567,58
VN,Monsummano Terme,18,22684,79
VN,Montecatini-Terme,12,25148,48
VN,Pescia,14,21385,65
VN,Pieve a Nievole,1,10293,10
VN,Ponte Buggianese,10,9441,106
VN,Uzzano,4,6171,65
,,1006,,
